"행정구역별(읍면동)","항목","단위","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국","총인구[명]","명","51069375","51269554","51422507","51629512","51779203","51829136","51738071","51692272","51774521","51805547",
"전국","남자[명]","명","25608502","25696987","25768055","25877195","25952070","25915207","25850044","25835298","25903852","25930817",
"전국","여자[명]","명","25460873","25572567","25654452","25752317","25827133","25913929","25888027","25856974","25870669","25874730",
"전국","내국인-계[명]","명","49705663","49855796","49943260","49977951","50000285","50133493","50088104","49939926","49839371","49762803",
"전국","내국인-남자[명]","명","24819839","24881520","24922392","24931554","24934662","24972588","24943537","24866514","24810723","24766373",
"전국","내국인-여자[명]","명","24885824","24974276","25020868","25046397","25065623","25160905","25144567","25073412","25028648","24996430",
"전국","외국인-계[명]","명","1363712","1413758","1479247","1651561","1778918","1695643","1649967","1752346","1935150","2042744",
"전국","외국인-남자[명]","명","788663","815467","845663","945641","1017408","942619","906507","968784","1093129","1164444",
"전국","외국인-여자[명]","명","575049","598291","633584","705920","761510","753024","743460","783562","842021","878300",
"전국","가구-계[가구]","가구","19560603","19837665","20167922","20499543","20891348","21484785","22022753","22383187","22728163","22997120",
"전국","일반가구[가구]","가구","19111030","19367696","19673875","19979188","20343188","20926710","21448463","21773507","22073158","22294419",
"전국","집단가구[가구]","가구","16464","12968","15949","17209","16729","16388","17332","17212","17787","19874",
"전국","외국인가구[가구]","가구","433109","457001","478098","503146","531431","541687","556958","592468","637218","682827",
"전국","주택_계[호]","호","16367006","16692230","17122573","17633327","18126954","18525844","18811627","19155585","19546299","19872674",
"전국","주택_단독주택[호]","호","3973961","3967776","3963072","3948984","3917683","3897729","3870987","3860997","3861380","3841487",
"전국","주택_아파트[호]","호","9806062","10029644","10375363","10826044","11287048","11661851","11948544","12268973","12631608","12973943",
"전국","주택_연립주택[호]","호","485349","492469","502514","508664","514337","521606","526229","530985","538667","542861",
"전국","주택_다세대주택[호]","호","1898090","2000783","2072905","2139885","2194943","2230787","2253158","2283238","2303093","2302915",
"전국","주택_비주거용 건물 내 주택[호]","호","203544","201558","208719","209750","212943","213871","212709","211392","211551","211468",
"전국","주택 이외의 거처_계[호]","호","607195","691672","773847","824686","896930","1000903","1097819","1162311","1200178","1243052",
"읍부","총인구[명]","명","4616802","4707855","4794377","4984023","5057507","5113052","5183834","5098892","5131418","5207049",
"읍부","남자[명]","명","2360708","2410964","2456558","2557807","2599416","2624351","2658474","2621409","2647996","2692092",
"읍부","여자[명]","명","2256094","2296891","2337819","2426216","2458091","2488701","2525360","2477483","2483422","2514957",
"읍부","내국인-계[명]","명","4467697","4548051","4625994","4787535","4839016","4904647","4977540","4879206","4876488","4928981",
"읍부","내국인-남자[명]","명","2262853","2305977","2347613","2431315","2459087","2494271","2531672","2484040","2484268","2511910",
"읍부","내국인-여자[명]","명","2204844","2242074","2278381","2356220","2379929","2410376","2445868","2395166","2392220","2417071",
"읍부","외국인-계[명]","명","149105","159804","168383","196488","218491","208405","206294","219686","254930","278068",
"읍부","외국인-남자[명]","명","97855","104987","108945","126492","140329","130080","126802","137369","163728","180182",
"읍부","외국인-여자[명]","명","51250","54817","59438","69996","78162","78325","79492","82317","91202","97886",
"읍부","가구-계[가구]","가구","1737415","1792689","1846901","1942637","1993797","2080384","2161590","2162312","2207827","2267001",
"읍부","일반가구[가구]","가구","1695508","1746762","1798810","1890366","1937519","2021664","2099836","2096426","2134813","2185798",
"읍부","집단가구[가구]","가구","2189","1846","2277","2505","2451","2353","2422","2473","2629","3110",
"읍부","외국인가구[가구]","가구","39718","44081","45814","49766","53827","56367","59332","63413","70385","78093",
"읍부","주택_계[호]","호","1614808","1673803","1749920","1862018","1935259","1992568","2039859","2050655","2104639","2176913",
"읍부","주택_단독주택[호]","호","544351","551606","560283","572652","574704","579820","582472","583479","585543","586641",
"읍부","주택_아파트[호]","호","864404","903764","959130","1040205","1098180","1142894","1181768","1210871","1258865","1327806",
"읍부","주택_연립주택[호]","호","66387","68597","71398","74587","78176","79981","81831","81057","82399","83683",
"읍부","주택_다세대주택[호]","호","112764","123194","131130","145491","154284","159041","162367","143781","146187","147011",
"읍부","주택_비주거용 건물 내 주택[호]","호","26902","26642","27979","29083","29915","30832","31421","31467","31645","31772",
"읍부","주택 이외의 거처_계[호]","호","49554","58323","62526","67246","69227","74804","79794","81935","83262","84540",
"면부","총인구[명]","명","4774878","4793569","4835090","4730290","4698591","4650781","4534456","4506486","4536053","4531891",
"면부","남자[명]","명","2455898","2472341","2498157","2453691","2447379","2420392","2352247","2348865","2383357","2395838",
"면부","여자[명]","명","2318980","2321228","2336933","2276599","2251212","2230389","2182209","2157621","2152696","2136053",
"면부","내국인-계[명]","명","4546520","4556905","4592308","4464067","4415652","4394145","4292808","4244198","4220051","4184061",
