행정구역별(읍면동),항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년,2024 년,Unnamed: 13
서울특별시,총인구[명],명,9904312.0,9805506.0,9741871.0,9673936.0,9639541.0,9586195.0,9472127.0,9417469.0,9384512.0,9335444.0,
종로구,총인구[명],명,161521.0,154398.0,157277.0,157967.0,154969.0,151291.0,148857.0,147512.0,146179.0,144486.0,
중구,총인구[명],명,128478.0,128160.0,127896.0,129797.0,130957.0,128744.0,126310.0,125257.0,127576.0,126899.0,
용산구,총인구[명],명,227282.0,224993.0,223898.0,226938.0,227181.0,225882.0,221688.0,219289.0,214791.0,203401.0,
성동구,총인구[명],명,295006.0,294744.0,302367.0,306796.0,299688.0,291918.0,286469.0,282131.0,277683.0,274688.0,
광진구,총인구[명],명,368199.0,363979.0,363934.0,362304.0,359766.0,353967.0,347099.0,346519.0,348160.0,345130.0,
동대문구,총인구[명],명,364787.0,359935.0,357380.0,358141.0,355094.0,351057.0,348201.0,350709.0,355999.0,355789.0,
중랑구,총인구[명],명,403237.0,399317.0,396892.0,391668.0,386331.0,385663.0,380307.0,379127.0,376621.0,375066.0,
성북구,총인구[명],명,456844.0,451800.0,445417.0,438734.0,445327.0,438833.0,435509.0,436113.0,432874.0,429210.0,
강북구,총인구[명],명,319992.0,316212.0,313698.0,309138.0,303871.0,299535.0,292611.0,287788.0,284155.0,280470.0,
도봉구,총인구[명],명,340095.0,336745.0,332586.0,328243.0,323543.0,315979.0,309200.0,304137.0,299931.0,296997.0,
노원구,총인구[명],명,562996.0,555420.0,543499.0,534096.0,522480.0,511982.0,503929.0,496423.0,492979.0,486446.0,
은평구,총인구[명],명,478374.0,472242.0,466243.0,462552.0,461530.0,463102.0,457385.0,454649.0,452988.0,448142.0,
서대문구,총인구[명],명,308768.0,320258.0,321345.0,318874.0,319394.0,317209.0,314547.0,318308.0,320168.0,316345.0,
마포구,총인구[명],명,381330.0,375142.0,368841.0,368181.0,369327.0,365612.0,365192.0,362408.0,361380.0,358927.0,
양천구,총인구[명],명,465512.0,460267.0,452111.0,445591.0,440354.0,439068.0,433373.0,426981.0,422248.0,417397.0,
강서구,총인구[명],명,570507.0,574287.0,581675.0,578539.0,574097.0,564854.0,559837.0,555999.0,549557.0,543974.0,
구로구,총인구[명],명,444832.0,442165.0,436869.0,433765.0,435560.0,435442.0,426220.0,424038.0,423397.0,418832.0,
금천구,총인구[명],명,250690.0,247819.0,249930.0,249344.0,249747.0,249419.0,247398.0,247185.0,245860.0,243662.0,
영등포구,총인구[명],명,406528.0,398120.0,393560.0,395286.0,394083.0,403619.0,402984.0,401805.0,400544.0,400799.0,
동작구,총인구[명],명,407894.0,404076.0,400236.0,397980.0,400368.0,392772.0,388094.0,386605.0,384089.0,381172.0,
관악구,총인구[명],명,519622.0,515648.0,511222.0,510303.0,507828.0,502641.0,495777.0,496743.0,493677.0,490493.0,
서초구,총인구[명],명,420804.0,419682.0,414550.0,409491.0,404960.0,401749.0,392302.0,383181.0,385267.0,386254.0,
강남구,총인구[명],명,541688.0,532469.0,522514.0,507810.0,509199.0,508135.0,503019.0,500149.0,511084.0,528194.0,
송파구,총인구[명],명,634941.0,628212.0,633953.0,638167.0,648600.0,643288.0,634720.0,635758.0,630744.0,628648.0,
강동구,총인구[명],명,444385.0,429416.0,423978.0,414231.0,415287.0,444434.0,451099.0,448655.0,446561.0,454023.0,
부산광역시,총인구[명],명,3448737.0,3440484.0,3416918.0,3395278.0,3372692.0,3349016.0,3324335.0,3295760.0,3279604.0,3257256.0,
중구,총인구[명],명,45377.0,44514.0,43799.0,42766.0,41958.0,41439.0,41539.0,41145.0,40487.0,39599.0,
서구,총인구[명],명,111996.0,109916.0,106924.0,107028.0,105847.0,105303.0,104130.0,104824.0,103883.0,103413.0,
동구,총인구[명],명,89202.0,87065.0,86106.0,84557.0,85673.0,87246.0,86035.0,85918.0,87477.0,85665.0,
영도구,총인구[명],명,129515.0,126638.0,123531.0,120731.0,117959.0,113224.0,112834.0,109889.0,109389.0,106825.0,
부산진구,총인구[명],명,376321.0,370250.0,366492.0,357723.0,352390.0,351403.0,351201.0,350426.0,355644.0,356874.0,
동래구,총인구[명],명,262154.0,262054.0,261671.0,258386.0,260986.0,263345.0,259838.0,267292.0,265047.0,265089.0,
남구,총인구[명],명,283741.0,279802.0,275941.0,282645.0,278849.0,269111.0,264756.0,258062.0,258412.0,260090.0,
북구,총인구[명],명,299182.0,303445.0,296945.0,291675.0,285098.0,280177.0,279815.0,275580.0,270951.0,265364.0,
해운대구,총인구[명],명,409037.0,408042.0,399363.0,396311.0,392846.0,389535.0,386064.0,377199.0,370849.0,365974.0,
사하구,총인구[명],명,334762.0,331881.0,330293.0,326655.0,319828.0,312057.0,305790.0,303000.0,298826.0,293036.0,
금정구,총인구[명],명,249444.0,247752.0,246891.0,247971.0,244726.0,237219.0,233596.0,227484.0,221890.0,215539.0,
강서구,총인구[명],명,92628.0,106106.0,116702.0,121351.0,128809.0,136734.0,142110.0,143734.0,144102.0,145762.0,
연제구,총인구[명],명,203527.0,201181.0,201053.0,199887.0,203959.0,204947.0,201217.0,199751.0,198491.0,207871.0,
수영구,총인구[명],명,173069.0,172667.0,173059.0,170296.0,170414.0,171461.0,170720.0,170007.0,170220.0,167787.0,
사상구,총인구[명],명,240709.0,235080.0,231587.0,226961.0,222618.0,216350.0,211788.0,206948.0,208245.0,205140.0,
기장군,총인구[명],명,148073.0,154091.0,156561.0,160335.0,160732.0,169465.0,172902.0,174501.0,175691.0,173228.0,
대구광역시,총인구[명],명,2466052.0,2461002.0,2453041.0,2444412.0,2429940.0,2410700.0,2387911.0,2366852.0,2379188.0,2369335.0,
중구,총인구[명],명,78334.0,77234.0,75324.0,76935.0,75561.0,74278.0,72834.0,77512.0,85775.0,94128.0,
동구,총인구[명],명,339608.0,341583.0,340396.0,342396.0,337439.0,333294.0,332637.0,332954.0,335589.0,336051.0,
서구,총인구[명],명,202963.0,197210.0,191414.0,183857.0,175243.0,170437.0,165455.0,160754.0,161396.0,164110.0,
남구,총인구[명],명,160164.0,155833.0,152785.0,150132.0,147500.0,145588.0,144898.0,142675.0,141259.0,136118.0,
북구,총인구[명],명,450579.0,446632.0,445293.0,444759.0,446050.0,446466.0,444446.0,439303.0,430146.0,422633.0,
수성구,총인구[명],명,437328.0,432714.0,425546.0,418834.0,415283.0,412912.0,408085.0,402458.0,396295.0,398685.0,
달서구,총인구[명],명,607224.0,596901.0,583043.0,576746.0,574390.0,566712.0,554702.0,545073.0,539884.0,533000.0,
달성군,총인구[명],명,189852.0,212895.0,239240.0,250753.0,258474.0,261013.0,264854.0,266123.0,267045.0,263117.0,
군위군,총인구[명],명,,,,,,,,,21799.0,21493.0,
인천광역시,총인구[명],명,2890451.0,2913024.0,2925967.0,2936117.0,2952237.0,2945454.0,2957044.0,2989125.0,3025950.0,3058033.0,
중구,총인구[명],명,112910.0,113135.0,115153.0,119514.0,131863.0,138586.0,141758.0,150777.0,157326.0,164937.0,
동구,총인구[명],명,71054.0,69449.0,68171.0,65185.0,63003.0,61285.0,61053.0,58078.0,59364.0,57944.0,
남구,총인구[명],명,405746.0,416414.0,421851.0,,,,,,,,
연수구,총인구[명],명,317172.0,329886.0,337595.0,349963.0,374413.0,390260.0,399594.0,400488.0,408476.0,417391.0,
남동구,총인구[명],명,527324.0,528939.0,534050.0,537389.0,533119.0,528927.0,521165.0,511392.0,500087.0,492920.0,
부평구,총인구[명],명,548461.0,544319.0,538236.0,525014.0,514385.0,500812.0,494641.0,498254.0,498558.0,504885.0,
계양구,총인구[명],명,327311.0,323196.0,318104.0,307598.0,298912.0,292852.0,290967.0,288122.0,279818.0,278600.0,
서구,총인구[명],명,499540.0,506040.0,509776.0,532713.0,540655.0,541534.0,551026.0,581069.0,621848.0,634066.0,
미추홀구,총인구[명],명,,,,415102.0,411612.0,405886.0,412022.0,415196.0,414941.0,421789.0,
강화군,총인구[명],명,62291.0,62741.0,63737.0,64432.0,65235.0,66020.0,65834.0,66420.0,66246.0,66309.0,
옹진군,총인구[명],명,18642.0,18905.0,19294.0,19207.0,19040.0,19292.0,18984.0,19329.0,19286.0,19192.0,
광주광역시,총인구[명],명,1502881.0,1501557.0,1496172.0,1490092.0,1489730.0,1477573.0,1475262.0,1468972.0,1457090.0,1444171.0,
동구,총인구[명],명,104173.0,101293.0,100914.0,99870.0,103754.0,106005.0,108676.0,111181.0,112016.0,111289.0,
서구,총인구[명],명,305512.0,309176.0,306054.0,302189.0,298033.0,294854.0,290565.0,286793.0,284014.0,278639.0,
남구,총인구[명],명,221759.0,220733.0,219256.0,217345.0,217972.0,214860.0,216266.0,214531.0,211536.0,208707.0,
북구,총인구[명],명,459715.0,453155.0,450323.0,450023.0,446661.0,439352.0,436997.0,434712.0,432033.0,433089.0,
광산구,총인구[명],명,411722.0,417200.0,419625.0,420665.0,423310.0,422502.0,422758.0,421755.0,417491.0,412447.0,
대전광역시,총인구[명],명,1538394.0,1535445.0,1525849.0,1511214.0,1498839.0,1488435.0,1479740.0,1473662.0,1470336.0,1467093.0,
동구,총인구[명],명,247975.0,243612.0,239752.0,237297.0,237273.0,232559.0,233721.0,231324.0,230134.0,229875.0,
